race,boat,n,kind,wind,min,sog,vmg,twa,eff,svmg,ssog,stwa,keep,extra,tacks,gybes,tloss_m,tloss_s,gloss_m,gloss_s,loss_m,loss_s,tdip,gdip
2,Areté,1,beat,314,33.6,5.65,4.41,37.6,0.78,4.41,5.66,37.7,0.951,1212,4,0,-0.1,-0.0,,,0,0,3.65,
2,Areté,2,run,321,16.3,12.02,8.75,135.6,0.727,9.09,12.34,136.4,0.882,1632,1,3,119.5,25.5,15.4,3.3,166,35,5.9,8.33
2,Areté,3,beat,313,27.3,5.69,4.31,39.6,0.759,4.36,5.71,39.3,0.908,1099,6,0,5.5,2.4,,,33,15,3.6,
2,Areté,4,run,313,15.3,11.57,8.43,136.5,0.728,8.46,11.71,135.6,0.902,1476,0,3,,,2.5,0.6,8,2,,7.93
2,Ba ba,1,beat,314,33.0,5.75,4.5,37.6,0.783,4.54,5.76,37.4,0.925,1199,6,0,4.9,2.1,,,29,12,3.78,
2,Ba ba,2,run,321,15.7,12.34,9.08,136.4,0.736,9.37,12.64,136.7,0.905,1575,0,3,,,44.6,9.2,134,28,,6.5
2,Ba ba,3,beat,313,27.1,5.75,4.37,39.8,0.76,4.38,5.77,39.9,0.922,1108,5,0,1.5,0.6,,,7,3,3.22,
2,Ba ba,4,run,313,15.5,11.6,8.3,135.7,0.715,8.39,11.78,135.3,0.903,1571,0,3,,,13.3,3.1,40,9,,6.97
2,DIVA-NEU,1,beat,314,35.4,5.73,4.27,40.8,0.746,4.28,5.74,40.9,0.953,1534,4,0,1.9,0.9,,,8,3,3.62,
2,DIVA-NEU,2,run,321,17.1,11.86,8.42,135.0,0.71,8.58,12.09,134.9,0.889,1799,1,3,79.2,17.9,-0.2,-0.1,78,18,4.2,6.9
2,DIVA-NEU,3,beat,313,28.1,5.69,4.24,40.9,0.746,4.26,5.73,41.1,0.896,1187,7,0,1.8,0.8,,,13,6,3.13,
2,DIVA-NEU,4,run,313,13.4,12.44,9.37,138.7,0.753,9.64,12.77,138.7,0.906,1253,0,3,,,35.6,7.2,107,22,,7.23
2,Dime Piece,1,beat,314,34.2,5.79,4.38,40.0,0.756,4.41,5.81,39.8,0.927,1437,6,0,4.5,2.0,,,27,12,3.77,
2,Dime Piece,2,run,321,17.1,11.66,8.39,135.4,0.72,8.73,12.08,135.9,0.887,1706,1,3,108.1,24.1,19.8,4.4,167,37,5.1,9.17
2,Dime Piece,3,beat,313,28.6,5.63,4.1,42.0,0.729,4.14,5.65,41.9,0.912,1274,6,0,4.5,2.1,,,27,13,3.58,
2,Dime Piece,4,run,313,14.1,12.03,9.24,140.6,0.768,9.45,12.37,139.7,0.893,1205,0,3,,,27.3,5.6,82,17,,5.93
2,Florida 65,1,beat,314,35.1,5.76,4.26,41.4,0.739,4.3,5.79,41.3,0.929,1546,6,0,7.0,3.2,,,42,19,3.67,
2,Florida 65,2,run,321,16.2,12.29,8.89,134.9,0.723,9.31,12.71,136.1,0.917,1692,2,1,91.1,19.1,23.6,4.9,206,43,5.85,9.3
2,Florida 65,3,beat,313,27.9,5.75,4.28,41.0,0.743,4.3,5.79,41.0,0.895,1215,7,0,1.9,0.8,,,13,6,3.36,
2,Florida 65,4,run,313,15.1,11.74,8.62,137.2,0.735,8.68,11.91,136.1,0.902,1441,0,3,,,6.2,1.4,19,4,,8.53
2,J70 Let it be,1,beat,314,35.3,5.82,4.32,41.1,0.741,4.36,5.85,40.8,0.929,1637,6,0,7.3,3.2,,,44,20,3.38,
2,J70 Let it be,2,run,321,16.5,11.26,8.66,139.5,0.769,9.12,11.74,140.5,0.898,1313,2,2,70.4,15.0,52.6,11.2,246,52,5.4,7.65
2,J70 Let it be,3,beat,313,28.1,5.72,4.21,41.8,0.737,4.27,5.75,41.4,0.914,1228,6,0,6.4,2.9,,,38,18,3.3,
2,J70 Let it be,4,run,313,16.7,10.76,7.88,138.1,0.732,7.92,10.94,136.7,0.925,1460,1,2,4.2,1.0,7.2,1.8,19,4,5.0,7.25
2,JCurve,1,beat,314,34.7,5.52,4.19,39.3,0.759,4.21,5.54,39.4,0.879,1259,10,0,0.9,0.4,,,9,4,4.03,
2,JCurve,2,run,321,16.2,12.27,8.8,134.5,0.717,9.22,12.66,135.7,0.888,1721,2,2,100.5,21.2,-1.4,-0.3,198,42,5.1,8.85
2,JCurve,3,beat,313,28.0,5.74,4.17,42.7,0.726,4.21,5.79,42.8,0.86,1261,10,0,3.0,1.4,,,30,14,4.23,
2,JCurve,4,run,313,14.8,12.07,8.59,135.0,0.712,8.69,12.27,134.3,0.898,1574,0,3,,,12.8,2.8,38,8,,8.77
2,Jamaica,1,beat,314,34.3,5.7,4.41,38.6,0.773,4.47,5.74,38.3,0.93,1346,6,0,9.3,4.0,,,56,24,4.08,
