race,boat,n,kind,wind,min,sog,vmg,twa,eff,svmg,ssog,stwa,keep,extra,tacks,gybes,tloss_m,tloss_s,gloss_m,gloss_s,loss_m,loss_s,tdip,gdip
3,Team Sweden,4,run,332,11.1,13.97,11.02,142.3,0.789,11.28,14.43,140.7,0.848,998,1,3,4.6,0.8,24.3,4.2,77,13,8.5,8.03
4,J70 Let it be,1,beat,335,32.9,5.52,4.11,40.4,0.746,4.16,5.55,40.1,0.924,1423,6,0,7.0,3.3,,,42,20,3.25,
4,J70 Let it be,2,run,341,12.9,11.92,9.34,140.3,0.784,10.01,12.59,141.6,0.857,988,2,2,99.5,19.4,29.0,5.7,257,50,3.15,8.15
4,J70 Let it be,3,beat,342,28.8,5.31,3.95,40.4,0.743,3.97,5.33,40.1,0.942,1177,4,0,4.5,2.2,,,18,9,4.28,
4,J70 Let it be,4,run,349,10.8,13.24,11.18,148.1,0.844,11.43,13.58,147.6,0.907,660,0,2,,,38.8,6.6,78,13,,10.15
4,Mag,1,beat,335,31.1,5.45,4.34,35.4,0.796,4.37,5.48,35.3,0.92,1029,6,0,3.3,1.5,,,20,9,2.97,
4,Mag,2,run,341,13.1,12.67,9.23,134.2,0.729,9.11,12.74,132.2,0.884,1320,0,3,,,-18.5,-3.9,-56,-12,,8.77
4,Mag,3,beat,342,28.6,5.26,3.95,39.1,0.751,3.97,5.28,39.0,0.927,1114,5,0,3.9,1.9,,,19,10,3.74,
4,Mag,4,run,349,9.9,14.35,12.2,148.6,0.85,12.32,14.56,147.8,0.9,633,0,2,,,16.1,2.5,32,5,,7.25
4,Yupi,1,beat,335,31.9,5.37,4.22,36.2,0.786,4.23,5.41,36.6,0.921,1142,6,0,1.2,0.6,,,7,3,3.57,
4,Yupi,2,run,341,11.5,12.84,10.54,144.6,0.821,10.8,13.17,144.0,0.87,755,0,3,,,28.8,5.2,86,16,,6.53
4,Yupi,3,beat,342,27.4,5.24,4.18,34.7,0.798,4.24,5.27,34.2,0.895,889,7,0,6.7,3.0,,,47,21,3.69,
4,Yupi,4,run,349,13.1,12.14,9.34,137.1,0.769,9.85,12.68,138.2,0.883,1093,3,1,78.3,15.5,-19.5,-3.8,216,43,8.6,6.9
4,Team Sweden,1,beat,335,33.1,5.25,4.05,37.9,0.772,4.12,5.31,37.7,0.874,1209,10,0,6.5,3.1,,,65,30,3.36,
4,Team Sweden,2,run,341,12.0,12.74,10.02,141.5,0.786,10.75,13.59,141.1,0.758,982,1,5,126.9,22.9,25.4,4.6,254,46,3.2,7.98
4,Team Sweden,3,beat,342,29.7,5.09,3.81,39.2,0.748,3.85,5.14,39.2,0.888,1133,8,0,3.6,1.8,,,29,15,3.8,
4,Team Sweden,4,run,349,12.1,11.68,10.24,154.1,0.877,10.4,11.85,154.3,0.875,496,0,3,,,17.0,3.2,51,10,,9.9
